sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:13,12.18,,,,,,,,,,250,366,868,
 8:13,12.20,,,,,,,,,,58,565,-697,
 8:13,12.21,,,,,,,,,,127,565,22,
 8:13,12.23,,,,,,,,,,142,370,-364,
 8:13,12.24,,,,,,,,,,54,534,-750,
 8:13,12.25,,,,,,,,,,258,276,678,
 8:13,12.27,,,,,,,,,,100,585,-190,
 8:13,12.28,,,,,,,,,,208,451,655,
 8:13,12.30,,,,,,,,,,67,501,-745,
 8:13,12.31,,,,,,,,,,88,591,-387,
 8:13,12.32,,,,,,,,,,202,298,64,
 8:13,12.33,,,,,,,,,,177,493,495,
 8:13,12.35,,,,,,,,,,270,313,864,
 8:13,12.36,,,,,,,,,,63,592,-552,
 8:13,12.38,,,,,,,,,,225,276,268,
 8:13,12.39,,,,,,,,,,108,421,-570,
 8:13,12.41,,,,,,,,,,259,351,870,
 8:13,12.42,,,,,,,,,,234,264,466,
 8:13,12.43,,,,,,,,,,126,559,79,
 8:13,12.44,,,,,,,,,,130,370,-406,
 8:13,12.46,,,,,,,,,,55,555,-735,
 8:13,12.47,,,,,,,,,,253,274,613,
 8:13,12.49,,,,,,,,,,163,342,-256,
 8:13,12.50,,,,,,,,,,219,424,718,
 8:13,12.51,,,,,,,,,,61,525,-757,
 8:13,12.53,,,,,,,,,,85,586,-303,
 8:13,12.54,,,,,,,,,,192,310,-43,
 8:13,12.56,,,,,,,,,,79,478,-723,
 8:13,12.57,,,,,,,,,,264,306,846,
 8:13,12.58,,,,,,,,,,73,588,-487,
 8:13,12.60,,,,,,,,,,171,507,390,
 8:13,12.61,,,,,,,,,,94,438,-624,
 8:13,12.62,,,,,,,,,,54,589,-633,
 8:13,12.64,,,,,,,,,,225,271,385,
 8:13,12.65,,,,,,,,,,133,547,165,
 8:13,12.67,,,,,,,,,,243,381,844,
 8:13,12.68,,,,,,,,,,55,564,-721,
 8:13,12.69,,,,,,,,,,109,570,-45,
 8:13,12.71,,,,,,,,,,151,346,-294,
 8:13,12.72,,,,,,,,,,228,423,751,
 8:13,12.73,,,,,,,,,,250,268,724,
 8:13,12.75,,,,,,,,,,88,582,-258,
