sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:12,38.77,-511,-135,298
 8:12,38.78,-447,247,240
 8:12,38.8,-328,-114,360
 8:12,38.81,-256,535,261
 8:12,38.83,-169,367,321
 8:12,38.84,-472,162,246
 8:12,38.85,-298,499,247
 8:12,38.87,-462,-205,330
 8:12,38.88,-163,435,312
 8:12,38.89,-246,39,354
 8:12,38.91,-348,460,244
 8:12,38.92,-433,-207,294
 8:12,38.94,-511,-12,276
 8:12,38.95,-217,139,348
 8:12,38.96,-387,-195,351
 8:12,38.98,-205,522,280
 8:12,38.99,-508,-97,289
 8:12,39,-415,303,250
 8:12,39.02,-357,-148,352
 8:12,39.03,-504,-148,312
 8:12,39.05,-177,307,328
 8:12,39.06,-457,217,252
 8:12,39.07,-280,523,252
 8:12,39.09,-481,-187,312
 8:12,39.1,-480,126,258
 8:12,39.12,-273,-13,361
 8:12,39.13,-315,484,253
 8:12,39.14,-177,454,298
 8:12,39.16,-499,37,270
 8:12,39.17,-354,430,243
 8:12,39.18,-415,-204,343
 8:12,39.2,-199,511,289
 8:12,39.21,-217,138,346
 8:12,39.23,-393,385,240
 8:12,39.24,-208,531,282
 8:12,39.25,-516,-94,294
 8:12,39.26,-196,234,342
 8:12,39.28,-354,-148,352
 8:12,39.29,-250,540,265
 8:12,39.31,-180,318,333
 8:12,39.32,-459,208,247
 8:12,39.33,-304,-82,367
 8:12,39.35,-483,-192,315
 8:12,39.36,-175,400,318
 8:12,39.37,-489,112,360
 8:12,39.39,-328,481,247
 8:12,39.41,-462,-210,328
 8:12,39.42,-501,22,273
 8:12,39.43,-234,88,361
 8:12,39.44,-352,423,253
 8:12,39.46,-189,507,292
 8:12,39.47,-513,-57,277
 8:12,39.49,-402,349,235
 8:12,39.5,-379,-172,357
 8:12,39.51,-220,529,271
 8:12,39.53,-178,285,336
 8:12,39.54,-438,253,241
 8:12,39.55,-259,537,264
 8:12,39.57,-498,-181,318
